 13989;            ;045.0343303544;+00.2353916488;  6.35; 0.31;   43.752; 0.071;   -7.642; 0.087; 7.991
      ;55-28-1     ;045.1650067709;+00.2000676897;  3.90; 0.32;   10.036; 4.611;  -55.109; 2.523;10.581
      ;55-1191-1   ;045.0861548380;+00.2488254395;  3.16; 0.27;    2.932; 1.909;   -1.603; 1.035;10.743
      ;55-624-1    ;045.0665415576;+00.2482107912;  2.29; 0.28;    3.662; 2.065;  -18.415; 1.130;11.076
      ;55-849-1    ;045.1360382232;+00.3350436035;  1.58; 0.26;    0.341; 1.220;   -2.379; 0.711;10.169
      ;55-182-1    ;045.1413781152;+00.3596182173;  8.66; 0.26;  -52.849; 1.264;  -72.711; 0.721; 9.972
      ;55-867-1    ;045.1529589487;+00.3863428997;  5.70; 0.26;   24.527; 1.177;   -3.350; 0.707; 9.874
      ;55-72-1     ;045.1127787196;+00.3808435148;  2.09; 0.22;   -1.573; 1.733;  -11.662; 0.983;10.561
      ;55-912-1    ;045.0102695067;+00.3510987479;  6.20; 0.25;   26.308; 2.035;    9.195; 1.028; 9.971
      ;48-1139-1   ;044.9746592961;+00.4734722268;  1.68; 0.22;    9.104; 2.209;  -24.526; 1.132; 9.790
 14113;            ;045.5014469463;+00.4977038398;  9.96; 0.55;   25.104; 0.082;  -23.672; 0.078; 9.317
      ;55-767-1    ;045.4671647820;+00.6550804636;  5.03; 0.23;   97.762; 1.200;  -20.940; 0.624;11.259
      ;48-748-1    ;044.8662470963;+00.5615066020;  2.46; 0.22;   -6.289; 1.458;  -12.476; 0.810;10.556
 13957;            ;044.9373429965;+00.6238379567; 15.73; 0.23;  -98.248; 0.182; -160.800; 0.167; 9.483
      ;48-1138-1   ;044.7971490955;+00.6306771305;  4.70; 0.96;    9.534; 1.085;  -50.587; 2.402;10.276
      ;48-763-1    ;044.4149686447;+00.5678820970; 11.25; 0.27;  123.869; 1.320;   66.745; 0.738; 9.855
      ;48-872-2    ;044.9183099266;+00.7550870799;  2.79; 0.27;   29.300; 1.470;  -29.863; 0.844;11.263
      ;55-301-1    ;045.1056085220;+00.8123442432; 10.55; 0.23;    7.810; 1.564;  -82.990; 0.909;10.788
      ;55-806-1    ;045.0080107730;+00.8885801361;  4.20; 0.25;  -59.555; 1.193;  -64.633; 0.649; 9.215
      ;55-1018-1   ;045.1960001503;+00.9933051475;  6.58; 0.30;   16.401; 0.802;  -24.100; 0.539; 8.774
 14003;            ;045.0727873519;+00.9699969217;  5.75; 0.25;   29.369; 0.084;  -93.858; 0.082; 7.386
      ;55-179-1    ;045.1186021097;+01.0465809124;  1.19; 0.30;    1.118; 2.366;    4.687; 1.276;11.915
      ;55-1176-1   ;045.0257287511;+01.1102089134;  2.08; 0.31;  -14.473; 1.497;   -0.216; 0.832;11.534
      ;55-1335-1   ;045.6675838107;+00.7120840995;  5.40; 0.25;   80.426; 1.341;   12.644; 0.737;11.319
 14164;            ;045.6566865994;+00.8486824953;  1.51; 0.33;   -5.676; 0.124;    0.735; 0.100; 9.713
      ;55-1269-1   ;046.1233877394;+01.0663540308;  2.99; 0.78;   -5.716; 1.057;    4.548; 0.596;10.232
      ;55-891-1    ;046.1914864519;+01.1903043831;  0.66; 0.85;    5.477; 1.390;  -28.331; 0.780;11.557
      ;55-1181-1   ;046.0449312940;+01.2304770228;  2.87; 0.91;    2.200; 1.413;  -22.448; 0.826;11.091
 14077;            ;045.3564416071;+01.1561738992;  4.74; 0.52;   17.694; 0.050;   -1.378; 0.048; 7.343
      ;55-913-1    ;045.5806921119;+01.1942161734;  0.85; 0.41;    5.308; 7.278;   -5.454; 2.372;11.405
      ;55-1249-1   ;045.2051474872;+01.3160425256;  4.46; 0.29;   12.971; 5.705;   -1.937; 3.196;10.996
 14204;            ;045.7943314434;+01.3680969263;  5.01; 0.27;   47.418; 0.084;  -19.139; 0.083; 7.314
 14231;            ;045.8712655008;+01.5122401314;  7.69; 0.76;   48.361; 0.077;   12.450; 0.075; 8.871
      ;55-1308-1   ;045.9390116276;+01.5672189480;  2.51; 0.28;  -25.334; 1.734;   -9.966; 0.911;11.027
      ;55-1194-1   ;045.7430679744;+01.6768530657;  2.83; 0.42;   11.229; 2.494;    4.524; 1.298;11.992
      ;48-1163-1   ;044.3483120676;+00.9716313465;  7.45; 0.28;  -45.764; 1.760;  -46.761; 0.893;10.465
      ;48-685-1    ;044.3560007488;+00.9981171816;  7.38; 0.25;  -46.195; 2.147;  -47.023; 0.827;10.592
      ;48-1189-1   ;044.7453691662;+01.0774006202;  7.48; 0.28;   -0.798; 1.202;  -20.506; 0.884; 9.993
      ;48-947-1    ;044.8620904360;+01.0888553657;  2.55; 0.39;   11.899; 2.259;   -7.242; 1.163;11.186
      ;48-743-1    ;044.7646637665;+01.1086284137;  2.87; 0.23;   -1.413; 1.738;    0.277; 0.914;11.589
 13917;            ;044.8198837024;+01.2445553137;  2.73; 0.39;   12.422; 0.056;   -5.023; 0.052; 8.645
      ;48-1108-1   ;044.7708948500;+01.3727146388;  4.88; 0.25;  -26.790; 1.212;  -80.770; 0.761; 9.679
      ;48-1213-1   ;044.5333283044;+01.3711527043;  6.77; 0.26;   -0.775; 1.234;  -16.369; 0.702; 9.469
      ;48-1077-1   ;043.8958786817;+01.2439072830;  2.81; 0.26;   22.536; 2.599;  -10.281; 1.237;11.014
      ;48-1227-1   ;043.9355425719;+01.2995222647;  1.09; 0.31;    8.587; 2.010;   -3.962; 0.976;11.099
      ;48-120-1    ;043.8375094732;+01.3237093290;  3.15; 0.35;   11.484; 2.894;  -36.564; 1.094;11.135
      ;48-255-1    ;043.8067286563;+01.3303020103;  3.25; 0.44;   23.528; 2.657;  -11.002; 1.262;11.497
      ;48-874-1    ;043.9298868770;+01.4762307225;  1.36; 0.24;    1.881; 1.701;   -3.912; 0.858;10.473
      ;48-1076-1   ;044.2634408784;+01.5015893214;  5.47; 0.25;   19.802; 1.529;   11.970; 0.791; 9.717
      ;48-805-1    ;044.1945749850;+01.6608156803;  1.47; 0.30;   -4.877; 2.039;   -7.910; 0.919;11.913
      ;55-917-1    ;045.0577310634;+01.4571883418;  3.89; 0.30;   27.335; 2.178;   24.539; 0.993;11.402
      ;48-826-1    ;044.7750683380;+01.5104626874;  1.12; 0.25;    4.496; 1.437;   -9.684; 0.752; 9.711
      ;48-928-1    ;044.7093950020;+01.4981152842;  1.25; 0.46;    6.110; 2.333;   -1.457; 1.190;12.098
      ;48-1215-1   ;044.9937851265;+01.5989193229;  3.91; 0.23;   -3.453; 2.393;  -42.960; 1.234;10.721
 13927;            ;044.8576504628;+01.6511310413;  5.87; 0.34;  -25.517; 0.052;  -21.844; 0.047; 7.341
      ;55-551-1    ;045.4108076363;+01.6563476108;  1.02; 0.52;   -5.742; 3.108;  -15.056; 1.812;11.329
      ;55-268-1    ;045.4561327414;+01.7518569734;  8.96; 0.24;   58.558; 1.672;    3.445; 0.889;10.745
      ;55-670-1    ;045.3892297867;+01.7686266158;  1.12; 0.52;   16.654; 0.975;   -1.520; 1.203; 8.495
      ;55-137-1    ;045.3990413692;+01.8627245338;  2.41; 0.22;   20.849; 1.701;   27.653; 0.939;11.640
      ;48-693-1    ;044.7635824639;+01.7322525420;  3.22; 0.36;   10.810; 2.174;    0.893; 1.031;10.932
      ;48-869-1    ;044.8391462915;+01.7405829119;  1.78; 0.27;   13.443; 4.837;   -3.444; 1.596; 9.780
      ;48-1105-1   ;044.7384016780;+01.7715444138;  4.80; 0.24;    0.864; 1.729;  -24.389; 0.803;10.370
      ;55-321-1    ;045.1126936523;+02.1832116413;  2.74; 0.80;  -13.586; 1.231;  -54.638; 1.969;10.151
      ;48-722-1    ;044.7517129574;+02.0894229400;  3.60; 0.26;   61.992; 1.893;   27.983; 0.951;11.180
      ;48-1156-1   ;044.9226593512;+02.2259258711;  1.30; 0.23;   -1.766; 2.031;   -2.344; 0.979; 9.794
      ;48-758-1    ;044.9189114178;+02.2897868464;  3.84; 0.26;   13.005; 1.451;   15.448; 0.695;10.187
      ;55-1134-1   ;046.3461627873;+01.4481119470;  6.70; 0.99;  -56.229; 1.506;  -46.809; 0.805;10.994
