NGC 2302                      ;Mon  ;06 51 52.1 -07 04 48.0;Op    ;OC   ;   20.40;  1310; 0.200; 8.350;MWSC 1001                                                                                                         ;
FSR 1051                      ;Mon  ;06 52 08.4 +03 39 18.0;IR    ;OC   ;   19.80;  1180; 0.440; 8.790;MWSC 1003                                                                                                         ;
NGC 2306                      ;Mon  ;06 54 25.2 -07 12 18.0;Op    ;OC   ;   26.40;  1249; 0.050; 9.000;MWSC 1014                                                                                                         ;
FSR 1279                      ;CMa  ;06 54 40.6 -26 47 42.0;IR    ;OC   ;   21.60;  2237; 0.780; 8.750;MWSC 1017                                                                                                         ;
NGC 2304                      ;Gem  ;06 55 12.0 +17 58 48.0;Op    ;OC   ;   18.00;  3896; 0.150; 8.840;MWSC 1019                                                                                                         ;
FSR 866                       ;Gem  ;06 55 15.6 +29 43 48.0;IR    ;OC   ;   21.60;  1664; 0.290; 9.200;MWSC 1022                                                                                                         ;
NGC 2309                      ;Mon  ;06 56 04.8 -07 10 30.0;Op    ;OC   ;   25.20;  2384; 0.350; 8.740;MWSC 1026                                                                                                         ;
NGC 2311                      ;Mon  ;06 57 46.8 -04 36 36.0;Op    ;OC   ;   28.20;  2221; 0.210; 8.820;MWSC 1035                                                                                                         ;
NGC 2312                      ;Mon  ;06 58 48.0 +10 16 48.0;Op    ;OC   ;   13.20;  2436; 0.210; 8.810;MWSC 1043                                                                                                         ;
[BDS2003] 238                 ;Mon  ;06 59 16.8 -03 58 12.0;IR    ;OC   ;   18.00;  1943; 0.650; 7.350;MWSC 1047, NS 14 IR Cl, BFS 57 IR Cl, AFGL 5216 Cl, BIP 14, IRAS 06567-0355 Cl                                    ;
NGC 2318                      ;CMa  ;06 59 28.6 -13 39 43.2;Op    ;OC   ;   15.00;  1713; 0.440; 8.750;MWSC 1050                                                                                                         ;
Ferrero 10                    ;Mon  ;07 00 27   -03 00 36  ;Op    ;OC?  ;   10.00;      ;      ;      ;MWSC 1059                                                                                                         ;
Tombaugh 1                    ;CMa  ;07 00 29.8 -20 33 54.0;Op    ;OC   ;   24.00;  2642; 0.280; 9.070;MWSC 1060, Haffner 1                                                                                              ;
