Cluster's Name                ;Const;Coordinates (J2000.0) ;Wavel ;Type ;Dia_arcM;Dst_pc;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
NGC 2301                      ;Mon  ;06 51 46.8 +00 27 54.0;Op    ;OC   ;   31.20;   805; 0.060; 8.350;MWSC 1000                                                                                                         ;
ASCC 27                       ;Mon  ;06 53 56.4 -04 23 24.0;Op    ;OC   ;   28.80;  1159; 0.090; 8.700;MWSC 1009                                                                                                         ;
Cas OB1                       ;Cas  ;01 00 14.4 +61 27 36.0;Op    ;OB   ;   72.00;  3000; 2.250; 7.030;MWSC 101                                                                                                          ;
ASCC 28                       ;Mon  ;06 54 18.0 +00 09 00.0;Op    ;OC   ;   32.40;   946; 0.060; 8.490;MWSC 1011                                                                                                         ;
ASCC 29                       ;Mon  ;06 54 19.7 -01 41 24.0;Op    ;OC   ;   25.20;   826; 0.050; 8.060;MWSC 1013                                                                                                         ;
Collinder 121                 ;CMa  ;06 54 34.1 -24 19 30.0;Op    ;OB   ;   57.00;  1096; 0.060; 7.080;MWSC 1018                                                                                                         ;
NGC 366                       ;Cas  ;01 06 32.4 +62 13 26.4;Op    ;OC   ;   19.20;  2200; 1.000; 7.900;MWSC 102                                                                                                          ;
ASCC 30                       ;Mon  ;06 57 01.7 -06 12 54.0;Op    ;OC   ;   18.00;   814; 0.150; 8.250;MWSC 1028, Alessi 35                                                                                              ;
Alessi 55                     ;Mon  ;06 58 12   +00 52 07  ;Op    ;OC   ;   18.00;  1753; 0.560; 8.370;MWSC 1038, FSR 1080                                                                                               ;
Mon OB3                       ;Mon  ;06 58 37.2 -04 20 06.0;Op    ;OB   ;   31.20;  2120; 0.830; 7.940;MWSC 1039                                                                                                         ;Very sparse, poor RDP
NGC 381                       ;Cas  ;01 08 25.7 +61 34 44.4;Op    ;OC   ;   21.60;  1200; 0.340; 8.850;MWSC 105, Santa 103                                                                                               ;
NGC 2319                      ;Mon  ;07 00 41.0 +03 02 06.0;Op    ;OC   ;   19.80;   985; 0.100; 9.040;MWSC 1064                                                                                                         ;
ASCC 31                       ;Mon  ;07 01 04.8 +03 31 48.0;Op    ;OC   ;   20.40;   747; 0.100; 8.400;MWSC 1066                                                                                                         ;
ASCC 32                       ;CMa  ;07 02 06.0 -26 33 36.0;Op    ;OC   ;   39.00;   767; 0.080; 8.220;MWSC 1069, Alessi 33                                                                                              ;
Alessi 60                     ;Mon  ;07 02 30.0 -01 07 01.2;Op    ;OC   ;   12.00;  2610; 0.210; 8.640;MWSC 1071                                                                                                         ;
NGC 2323                      ;Mon  ;07 02 43.0 -08 22 12.0;Op    ;OC   ;   55.20;   902; 0.230; 8.260;MWSC 1072, M 50                                                                                                   ;
ASCC 33                       ;CMa  ;07 03 44.9 -25 03 18.0;Op    ;OC   ;   62.40;   704; 0.040; 7.700;MWSC 1077                                                                                                         ;
Stock 3                       ;Cas  ;01 12 08.9 +62 15 28.8;Op    ;OC   ;   13.20;  1363; 0.710; 7.850;MWSC 108                                                                                                          ;
van den Bergh 92              ;CMa  ;07 04 04.8 -11 31 48.0;Op    ;OC   ;   30.00;  1570; 0.380; 7.360;MWSC 1080, FSR 1188                                                                                               ;
NGC 2324                      ;Mon  ;07 04 10.1 +01 02 16.8;Op    ;OC   ;   33.00;  3842; 0.240; 8.680;MWSC 1084                                                                                                         ;
[PLK98] 1                     ;Psc  ;01 12 54.0 +32 03 00  ;Op    ;OC   ;  158.40;   190; 0.050; 8.310;MWSC 109, Platais 2                                                                                               ;
NGC 433                       ;Cas  ;01 15 12.2 +60 07 22.8;Op    ;OC   ;   16.80;  1650; 0.600; 7.810;MWSC 110, Stock 22                                                                                                ;
NGC 2335                      ;Mon  ;07 06 50.4 -10 01 48.0;Op    ;OC   ;   37.20;  1411; 0.420; 8.200;MWSC 1100                                                                                                         ;
Collinder 466                 ;Mon  ;07 06 56.2 -10 43 12.0;Op    ;OC   ;   11.40;  1037; 0.060; 8.410;MWSC 1102                                                                                                         ;
CMa OB1 B                     ;CMa  ;07 08 24   -12 17 00  ;Op    ;OB   ;   84.00;  1300;      ;      ;MWSC 1106                                                                                                         ;
CMa OB1 A                     ;Mon  ;07 04 06   -11 01 00  ;Op    ;OB   ;   72.00;   750;      ;      ;MWSC 1106                                                                                                         ;
NGC 436                       ;Cas  ;01 15 59.0 +58 48 39.6;Op    ;OC   ;   18.60;  3000; 0.460; 7.930;MWSC 111                                                                                                          ;
ASCC 34                       ;CMi  ;07 10 37.2 +06 04 48.0;Op    ;OC   ;   24.60;   477; 0.020; 8.530;MWSC 1134                                                                                                         ;
Alessi 21                     ;Mon  ;07 10 40.8 -09 18 00.0;Op    ;OC   ;   38.40;   596; 0.070; 7.700;MWSC 1137, COCD 125                                                                                               ;
NGC 457                       ;Cas  ;01 19 37.2 +58 16 48.0;Op    ;OC   ;   26.40;  2400; 0.400; 7.380;MWSC 114                                                                                                          ;
ASCC 35                       ;CMi  ;07 12 41.3 +02 06 18.0;Op    ;OC   ;   28.20;   787; 0.060; 8.480;MWSC 1141                                                                                                         ;
Collinder 132                 ;CMa  ;07 13 26.4 -30 58 30.0;Op    ;OC   ;   37.20;   330; 0.020; 7.510;MWSC 1147                                                                                                         ;
ASCC 36                       ;CMa  ;07 14 30.0 -21 07 22.8;Op    ;OC   ;   30.00;   813; 0.000; 8.330;MWSC 1151                                                                                                         ;
Alessi 3                      ;Pup  ;07 16 12.0 -46 37 01.2;Op    ;OC   ;   52.80;   311; 0.110; 8.870;MWSC 1157, COCD 129                                                                                               ;
NGC 2358                      ;CMa  ;07 17 00.5 -17 09 18.0;Op    ;OC   ;   36.00;   739; 0.020; 8.790;MWSC 1159                                                                                                         ;
NGC 2360                      ;CMa  ;07 17 42.0 -15 38 24.0;Op    ;OC   ;   36.00;  1560; 0.420; 8.650;MWSC 1165                                                                                                         ;
Collinder 135                 ;Pup  ;07 17 56.4 -37 02 06.0;Op    ;OC   ;   62.40;   361; 0.040; 7.600;MWSC 1166                                                                                                         ;
ASCC 37                       ;CMa  ;07 18 03.6 -24 30 00.0;Op    ;OC   ;   19.20;  1571; 0.130; 8.730;MWSC 1169                                                                                                         ;
NGC 2362                      ;CMa  ;07 18 43.2 -24 57 36.0;Op    ;OC   ;   31.20;  1375; 0.170; 6.640;MWSC 1173, Tau CMa Cl, Escorial 18                                                                                ;
FSR 1157                      ;Mon  ;07 22 37.2 -05 06 54.0;IR    ;OC   ;   10.80;   926; 0.830; 7.700;MWSC 1194                                                                                                         ;
FSR 1470                      ;Car  ;07 22 48.0 -59 11 56.4;IR    ;OC   ;   21.00;  1055; 0.420; 8.630;MWSC 1196                                                                                                         ;
Collinder 140                 ;CMa  ;07 24 07.2 -31 53 24.0;Op    ;OC   ;   58.80;   386; 0.050; 7.700;MWSC 1199                                                                                                         ;
NGC 7826                      ;Cet  ;00 05 17.0 -20 41 30.1;Op    ;OC   ;   20.00;   620; 0.030; 9.340;MWSC 12                                                                                                           ;
FSR 1293                      ;CMa  ;07 23 55.9 -25 21 32.4;IR    ;OC   ;    9.60;   962; 1.200; 9.010;MWSC 1205                                                                                                         ;
NGC 559                       ;Cas  ;01 29 31.2 +63 18 07.2;Op    ;OC   ;   36.00;  2200; 0.600; 8.800;MWSC 122                                                                                                          ;
ASCC 38                       ;Mon  ;07 27 00.0 -05 32 42.0;Op    ;OC   ;   29.40;   569; 0.070; 8.600;MWSC 1227                                                                                                         ;
NGC 2396                      ;Pup  ;07 28 06.5 -11 44 24.0;Op    ;OCR  ;   24.00;   545; 0.050; 8.520;MWSC 1232, Haffner 24                                                                                             ;
NGC 2394                      ;CMi  ;07 28 36.0 +07 05 12.1;Op    ;OC   ;    8.00;   940; 0.130; 8.950;MWSC 1236                                                                                                         ;
NGC 581                       ;Cas  ;01 33 15.8 +60 39 07.2;Op    ;OC   ;   20.40;  2199; 0.330; 7.440;MWSC 124, M 103                                                                                                   ;
NGC 2409                      ;Pup  ;07 31 37.2 -17 11 24.0;Op    ;OC   ;   22.80;   870; 0.210; 8.410;MWSC 1254, Bochum 4                                                                                               ;
ASCC 39                       ;Pup  ;07 33 16.1 -22 57 00.0;Op    ;OC   ;   31.20;  1609; 0.210; 8.710;MWSC 1261                                                                                                         ;
ASCC 40                       ;Pup  ;07 33 39.6 -13 45 54.0;Op    ;OC   ;   18.60;  3113; 0.420; 8.800;MWSC 1266                                                                                                         ;
FSR 1268                      ;Pup  ;07 35 44.2 -19 46 44.4;IR    ;OC   ;   12.00;   974; 0.020; 8.620;MWSC 1276                                                                                                         ;
NGC 2422                      ;Pup  ;07 36 39.6 -14 29 24.0;Op    ;OC   ;   75.60;   471; 0.100; 8.120;MWSC 1278, M 47, NGC 2478, Escorial 21                                                                            ;
NGC 2423                      ;Pup  ;07 37 06.5 -13 51 00.0;Op    ;OC   ;   54.00;   824; 0.060; 9.030;MWSC 1283                                                                                                         ;
Ruprecht 27                   ;Pup  ;07 37 41.5 -26 30 25.2;Op    ;OC   ;   28.20;   576; 0.150; 8.410;MWSC 1286, FSR 1305                                                                                               ;
Melotte 71                    ;Pup  ;07 37 33.6 -12 03 18.0;Op    ;OC   ;   40.80;  2473; 0.100; 8.980;MWSC 1287, Wilk's Cl, Collinder 155                                                                               ;
NGC 2420                      ;Gem  ;07 38 22.8 +21 34 01.2;Op    ;OC   ;   36.60;  2880; 0.010; 9.370;MWSC 1292                                                                                                         ;
Collinder 464                 ;Cam  ;05 12 39   +73 58 29  ;Op    ;OC?  ;  120.00;      ;      ;      ;MWSC 1295                                                                                                         ;
NGC 2430                      ;Pup  ;07 39 39.8 -16 22 48.0;Op    ;OC   ;   18.00;   707; 0.170; 7.700;MWSC 1298                                                                                                         ;
NGC 2408                      ;Cam  ;07 40 09.0 +71 39 18.0;Op    ;OCR? ;   28.00;  1133; 0.030; 9.480;MWSC 1303                                                                                                         ;
Haffner 13                    ;Pup  ;07 40 28.1 -30 02 34.8;Op    ;OC   ;   39.00;   714; 0.050; 7.520;MWSC 1305                                                                                                         ;
NGC 2439                      ;Pup  ;07 40 48.0 -31 42 18.0;Op    ;OC   ;   32.40;  3834; 0.440; 7.250;MWSC 1306                                                                                                         ;
NGC 2451 A                    ;Pup  ;07 41 20.4 -38 31 12.0;Op    ;OC   ;  156.00;   188; 0.000; 7.760;MWSC 1308, Puppis Moving Group, PMG 1                                                                             ;
NGC 2437                      ;Pup  ;07 41 49.2 -14 48 18.0;Op    ;OC   ;   68.40;  1375; 0.150; 8.350;MWSC 1313, M 46                                                                                                   ;
Ruprecht 31                   ;Pup  ;07 42 59.3 -35 35 34.8;Op    ;OCR  ;   13.20;   541; 0.100; 8.650;MWSC 1317                                                                                                         ;
NGC 2451 B                    ;Pup  ;07 44 27.6 -37 40 12.0;Op    ;OC   ;   49.20;   489; 0.170; 8.230;MWSC 1322, PMG 2                                                                                                  ;
NGC 2447                      ;Pup  ;07 44 34.8 -23 51 36.0;Op    ;OC   ;   60.00;  1037; 0.050; 8.680;MWSC 1324, M 93                                                                                                   ;
NGC 637                       ;Cas  ;01 43 06.5 +64 02 42.0;Op    ;OC   ;   17.40;  2304; 0.580; 6.740;MWSC 133                                                                                                          ;
Ruprecht 34                   ;Pup  ;07 45 56.9 -20 23 06.0;Op    ;OC   ;   15.00;   893; 0.150; 9.100;MWSC 1330, Berkeley 38                                                                                            ;
Herschel 1                    ;CMi  ;07 46 58.8 +00 01 12.0;Op    ;OC   ;   31.20;   397; 0.020; 8.700;MWSC 1337, ASCC 41                                                                                                ;
NGC 657                       ;Cas  ;01 43 23.8 +55 50 24.0;Op    ;OC   ;   11.40;  1934; 0.520; 9.000;MWSC 135                                                                                                          ;
Cas OB8                       ;Cas  ;01 45 14   +61 14 40  ;Op    ;OB   ;   90.00;  1770;      ;      ;MWSC 136                                                                                                          ;Large multicenter association
NGC 2477                      ;Pup  ;07 52 08.4 -38 31 48.0;Op    ;OC   ;   54.00;  1450; 0.290; 8.920;MWSC 1363                                                                                                         ;
ESO 123-26                    ;Car  ;07 52 12.0 -60 20 24.0;Op    ;OC   ;   24.00;   816; 0.130; 8.530;MWSC 1364                                                                                                         ;
