[ME95] Cl 2                   ;Cru  ;12 09 45   -63 52 42  ;Op    ;OC?  ;   30.00;  1920;      ;      ;Alessi 182, Alessi J1209.7-6352                                                                                   ;
Alessi 104                    ;TrA  ;16 27 49   -65 45 16  ;Op    ;OC/**;   59.00;      ;      ;      ;                                                                                                                  ;
Alessi 106                    ;CMa  ;06 49 43   -24 04 43  ;Op    ;OC/**;    9.00;      ;      ;      ;                                                                                                                  ;
Alessi 109                    ;UMa  ;11 42 59   +64 21 19  ;Op    ;OCR? ;   65.00;   219; 0.090; 8.500;                                                                                                                  ;Age is upper limit
Alessi 112                    ;Pup  ;08 08 44   -42 04 22  ;Op    ;OC/**;   15.00;      ;      ;      ;                                                                                                                  ;
Alessi 113                    ;Vel  ;08 29 05   -47 55 44  ;Op    ;OC   ;   22.00;   417;      ;      ;                                                                                                                  ;Dist is avg of HIP 41616, 41668, 41498 and 41781
Alessi 118                    ;Mon  ;07 11 35   +00 44 51  ;Op    ;OC/**;   23.00;      ;      ;      ;                                                                                                                  ;
Alessi 131                    ;Gem  ;06 10 30   +26 28 05  ;Op    ;OC/**;   72.00;      ;      ;      ;Santa 6                                                                                                           ;
Alessi 161                    ;Her  ;18 55 10   +12 19 28  ;Op    ;OC/**;   25.00;      ;      ;      ;18 55 21 +12 17 44  30'                                                                                           ;
Alessi 178                    ;Pup  ;07 36 04   -25 24 42  ;Op    ;OC?  ;   90.00;   433;      ;      ;Escorial 22, TC 0736-2524, HD 61071 Cl                                                                            ;
Alessi 191                    ;Her  ;18 48 28   +22 03 31  ;Op    ;OC/**;   30.00;      ;      ;      ;                                                                                                                  ;
Alessi 193                    ;Ori  ;05 31 41   -07 02 55  ;Op    ;OC/**;  120.00;      ;      ;      ;Nu Ori Cl                                                                                                         ;
Alessi 36                     ;Pup  ;07 06 22   -37 28 53  ;Op    ;OC   ;   30.00;   295; 0.090; 8.500;                                                                                                                  ;Age is upper limit
Alessi 83                     ;Lac  ;22 55 47   +43 33 07  ;Op    ;OC/**;   70.00;      ;      ;      ;                                                                                                                  ;
Alessi 95                     ;Cas  ;02 52 15   +68 53 19  ;Op    ;OC   ;   24.00;   429; 0.330; 8.200;Cas R1, SU Cas Cl                                                                                                 ;
Alessi 98                     ;Sct  ;18 51 40   -15 10 48  ;Op    ;OC   ;   26.00;   501; 0.090; 9.000;                                                                                                                  ;
Alessi-Teutsch 1              ;Cas  ;01 00 18   +55 22 45  ;Op    ;OC/**;   14.00;      ;      ;      ;                                                                                                                  ;
Majaess 123                   ;Car  ;10 20 57   -59 41 06  ;IR    ;OC?  ;   40.00;      ;      ;      ;van Genderen Cl                                                                                                   ;From D. Turner private comm 2016. Near HR car, seen in fig 1 of 1991A&A...246..407V
Renou 14                      ;Peg  ;22 34 47   +29 57 50  ;Op    ;OC?  ;   37.00;      ;      ;      ;Alessi 185, TC 2234+2957                                                                                          ;
