#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-26T11:01:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e8ff761784	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgasptyc}&key:source=I/337/tgasptyc&HTTPPRM:&
#-c=Cl Alessi 62
#-c.eq=J2000
#-c.r=  18
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgasptyc
#-order=I
#-out.orig=standard
#-out=TYC
#-out=HIP
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=283.954160+21.580280,rm=18.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgasptyc:
#Name: I/337/tgasptyc
#Title: TGAS supplement with BT and VT magnitudes (\originalcolumnnames)
#Column	_r	(F7.4)	Distance from center (283.9541600000+21.5802800000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	TYC	(A12)	TYC2 or TYC1 designation	[ucd=meta.id.cross]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;TYC;HIP;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
arcmin; ; ;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr
-------;------------;------;--------------;--------------;------;-----;---------;------;---------;------
 0.3551;1596-10-1   ;      ;283.9562732515;+21.5858620313;  1.43; 0.37;    2.724; 0.772;   -1.223; 0.891
 1.2570;1596-72-1   ;      ;283.9316950224;+21.5818638746;  1.49; 0.28;    0.842; 0.789;   -0.375; 0.904
 1.3163;1596-1444-1 ;      ;283.9679717748;+21.5980657021;  1.35; 0.32;    0.440; 0.723;   -1.336; 0.738
 1.8467;1596-578-1  ;      ;283.9226825554;+21.5707664656;  1.72; 0.27;   -0.403; 0.669;   -0.392; 0.788
 1.9066;1596-1840-1 ;      ;283.9622319981;+21.6111572938;  0.77; 0.25;    1.766; 0.569;   -1.977; 0.625
 2.7503;1596-430-1  ;      ;283.9697193358;+21.6237757479;  1.60; 0.27;    0.254; 0.810;   -1.393; 1.004
 3.0415;1596-308-1  ;      ;283.9020773042;+21.5952568086;  1.68; 0.24;    0.328; 0.615;   -1.009; 0.719
 3.1080;1596-226-1  ;      ;283.9788737086;+21.5338588495; -0.60; 0.66;    2.981; 1.697;   -7.048; 1.797
 3.1336;1596-560-1  ;      ;283.8979979168;+21.5805777183;  0.82; 0.28;   -3.567; 0.708;   -5.114; 0.833
 4.5061;1597-567-1  ;      ;284.0339351680;+21.5685863228;  0.80; 0.25;   -0.365; 0.562;   -2.190; 0.597
 4.6226;1596-16-1   ;      ;283.8791739526;+21.5475350521;  0.81; 0.27;   -0.965; 0.694;   -1.354; 0.819
 5.0118;1596-1170-1 ;      ;283.9802860388;+21.5003627964;  1.49; 0.26;    0.113; 0.951;   -0.636; 0.789
 5.2272;1596-232-1  ;      ;283.8906774957;+21.5162223539;  0.29; 0.30;   -1.932; 0.836;    0.319; 0.897
 5.5907;1596-786-1  ;      ;283.8812827728;+21.5163462734;  0.80; 0.24;    2.912; 0.542;   -2.231; 0.593
 5.7326;1597-82-1   ;      ;284.0254575398;+21.5114998902;  0.30; 0.32;   -4.566; 0.850;   -4.560; 0.933
 5.9652;1597-593-1  ;      ;284.0294156154;+21.6509170095;  1.55; 0.25;   -0.226; 0.536;   -1.122; 0.543
 5.9691;1597-280-1  ;      ;284.0512594291;+21.5385409619;  1.63; 0.24;    0.018; 0.508;   -1.100; 0.567
 5.9694;1597-380-1  ;      ;284.0379276980;+21.5184088618;  1.18; 0.32;   -0.791; 0.777;   -0.438; 0.858
 6.0361;1596-2343-1 ;      ;283.8656459443;+21.6381479418;  1.39; 0.25;    1.480; 0.607;   -0.768; 0.713
 6.4915;1596-2011-1 ;      ;283.9484036724;+21.6883389060;  0.39; 0.29;    3.087; 0.727;   -4.756; 0.817
 6.6994;1597-618-1  ;      ;284.0693056062;+21.5486627279;  1.42; 0.25;    0.392; 0.502;   -0.997; 0.569
 7.0620;1597-596-1  ;      ;284.0509614834;+21.6561400016;  1.05; 0.26;    1.208; 0.615;   -1.505; 0.621
 7.1405;1596-2095-1 ;      ;283.8824899199;+21.6788926465;  1.53; 0.24;    0.029; 0.587;   -0.165; 0.621
 7.2968;1596-826-1  ;      ;283.8675485665;+21.4891803783;  4.34; 0.24;   -9.184; 0.587;   -1.539; 0.649
 7.5400;1596-312-1  ;      ;283.9760774330;+21.4562781556;  1.59; 0.25;    0.327; 0.628;   -0.222; 0.693
 7.6014;1597-213-1  ;      ;284.0335190021;+21.6832767838;  1.73; 0.23;   -0.190; 0.533;   -0.872; 0.541
 8.2980;1597-619-1  ;      ;284.0994467455;+21.5507744076;  1.54; 0.24;    0.039; 0.534;   -1.510; 0.523
 8.9148;1596-586-1  ;      ;283.7968567878;+21.5542981879;  0.95; 0.36;    2.739; 0.817;   -1.596; 0.907
 8.9708;1596-662-1  ;      ;283.9087651191;+21.4368549961;  1.03; 0.24;   -3.472; 0.502;    0.778; 0.540
 9.2574;1596-510-1  ;      ;283.8113780243;+21.5017479172;  1.67; 0.23;   12.143; 0.511;   -0.977; 0.572
 9.2836;1596-1918-1 ;      ;283.9750621444;+21.4267795226;  1.49; 0.42;   -0.220; 0.906;   -0.058; 0.935
 9.3112;1596-2027-1 ;      ;283.8633000271;+21.7104742707;  0.92; 0.26;   -2.327; 0.747;   -7.777; 0.807
 9.4769;1597-216-1  ;      ;284.1192085769;+21.5430562382;  0.67; 0.25;    6.169; 0.653;   -9.327; 0.546
10.0037;1596-2268-1 ;      ;283.8237549560;+21.4659035029;  0.82; 0.25;    0.462; 0.527;    0.891; 0.600
10.1172;1597-563-1  ;      ;284.1345363091;+21.5630945019;  1.52; 0.24;    0.161; 0.593;   -0.475; 0.585
10.5136;1596-254-1  ;      ;283.8410905472;+21.4401417971;  1.50; 0.28;   -0.220; 0.666;   -1.020; 0.693
