#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-20T09:58:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e107e7709f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&
#-c=20 04 43.7 -10 29 06.0
#-c.eq=J2000
#-c.r=  30
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=301.182083-10.485000,rm=30.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column	_r	(F7.4)	Distance from center (301.1820833333-10.4850000000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	TYC2	(A12)	Tycho 2 identifier (\original{tycho2_id})	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
arcmin; ; ;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr
-------;------;------------;--------------;--------------;------;-----;---------;------;---------;------
 0.8459;      ;5743-508-1  ;301.1753959985;-10.4974717969;  2.93; 0.93;    1.825; 1.661;   -5.636; 1.344
 2.4599;      ;5743-1492-1 ;301.2006068028;-10.5217302773;  1.98; 0.37;    3.033; 1.174;   -7.620; 0.739
 4.4451;      ;5743-1578-1 ;301.1654226980;-10.5572512515;  2.08; 0.44;    2.483; 1.666;   -7.656; 0.963
 4.9535;      ;5743-1654-1 ;301.2474576696;-10.4332042221;  1.90; 0.48;    2.489; 1.791;   -7.662; 0.749
 5.0101;      ;5743-1772-1 ;301.1593881802;-10.5654656825;  2.01; 0.51;    3.285; 1.617;   -6.731; 1.015
 5.4853;      ;5743-364-1  ;301.2202706417;-10.5683572123;  2.02; 0.38;    2.331; 1.663;   -9.788; 1.029
 5.5218;      ;5743-628-1  ;301.1547962115;-10.3969701953;  0.76; 0.48;    3.312; 1.831;   -9.315; 1.049
 6.3310;      ;5743-1680-1 ;301.2892425233;-10.4905802078;  1.28; 0.34;    2.669; 0.899;   -7.496; 0.604
 6.3983;      ;5743-1358-1 ;301.0985397443;-10.5530057929;  1.99; 0.40;    0.631; 1.531;   -8.122; 0.937
 6.9169;      ;5743-1914-1 ;301.2051030050;-10.3719632711;  2.31; 0.53;    1.185; 1.655;   -7.617; 0.937
 7.0814; 98899;            ;301.2517251438;-10.5811322087;  2.18; 0.28;    1.442; 0.075;   -7.769; 0.062
10.2921;      ;5743-1286-1 ;301.0420726045;-10.5873546934;  3.53; 0.41;   38.980; 1.824;   25.952; 1.088
11.5756;      ;5743-384-1  ;301.0315988660;-10.6088290786;  4.10; 0.31;   14.754; 1.092;  -16.028; 0.704
13.3114;      ;5743-986-1  ;301.0690392296;-10.2930177506;  1.65; 0.59;   -3.084; 2.266;   -3.654; 1.216
13.5374;      ;5743-1855-1 ;301.0897031092;-10.2784844457;  1.61; 0.53;    8.083; 2.023;    1.874; 1.210
14.0259;      ;5743-472-1  ;301.3363883152;-10.6628702426;  4.15; 0.77;   29.030; 2.567;  -12.700; 1.396
14.6173;      ;5743-1797-1 ;301.1439768102;-10.2442785497;  2.88; 0.43;    1.806; 2.672;   -4.612; 1.653
15.2327; 98904;            ;301.2631488743;-10.7260503964;  1.63; 0.36;    1.964; 0.082;   -5.926; 0.081
15.2653;      ;5743-1537-1 ;301.2157311406;-10.2327408264;  0.29; 0.47;   -1.439; 1.794;   -4.876; 1.043
15.7261;      ;5743-1614-1 ;300.9942317202;-10.2991050383;  1.50; 0.35;   -0.703; 1.323;   -1.912; 0.729
16.9059;      ;5743-1699-1 ;301.3510508488;-10.2574777640;  1.40; 0.50;   30.242; 1.961;  -10.480; 0.848
17.0301;      ;5743-948-1  ;300.9553783529;-10.6607762350;  0.71; 0.57;   14.298; 1.892;    2.202; 1.129
17.5358;      ;5743-302-1  ;300.9698885063;-10.2804190200;  1.89; 0.46;   -8.349; 1.659;  -13.470; 0.932
18.0734;      ;5743-1854-1 ;301.2286881938;-10.7827209697;  1.43; 0.50;    4.308; 3.317;   -6.862; 1.939
18.2446;      ;5743-1512-1 ;301.3983903154;-10.7023837601; 16.27; 0.49;   -4.090; 1.761;   16.327; 1.028
18.5662;      ;5743-1887-1 ;300.8853706064;-10.3820428542; -0.16; 0.55;   -1.738; 2.272;   -1.343; 1.361
20.7073;      ;5743-1602-1 ;300.8976652145;-10.6873496658;  0.82; 0.54;    2.901; 1.946;   -4.025; 1.085
20.7149;      ;5743-1524-1 ;301.3767856487;-10.7723619869;  1.98; 0.47;   11.779; 1.552;    0.705; 0.931
20.7258;      ;5743-1150-1 ;300.8776363736;-10.3127983242;  7.16; 0.73;   49.590; 2.722;   44.771; 1.497
21.9343;      ;5743-1118-1 ;301.5077252207;-10.6615521497;  8.73; 0.46;   -4.322; 1.845;  -63.402; 1.063
21.9746;      ;5743-1800-1 ;301.5098228610;-10.3111605684;  1.53; 0.32;   -9.373; 1.414;  -23.941; 0.820
22.2987;      ;5743-1352-1 ;301.0264549315;-10.8237141683;  3.82; 0.48;   -8.442; 2.012;  -35.232; 1.177
22.5146;      ;5743-1596-1 ;300.8023821824;-10.5227716824;  2.94; 0.38;   22.371; 1.503;  -13.186; 0.807
22.8184;      ;5743-1391-1 ;301.0639667014;-10.1228843143;  2.01; 0.32;  -33.273; 1.317;  -26.651; 0.741
