#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-20T11:15:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e1190354ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&
#-c=19 16 22.1 -16 15 00.0
#-c.eq=J2000
#-c.r=  120
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=289.092083-16.250000,rm=120.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column	_r	(F8.4)	Distance from center (289.0920833333-16.2500000000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	TYC2	(A12)	Tycho 2 identifier (\original{tycho2_id})	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
arcmin; ; ;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr
--------;------;------------;--------------;--------------;------;-----;---------;------;---------;------
  4.0455;      ;6296-1383-1 ;289.1086712148;-16.1844826687;  3.29; 0.30;   -6.377; 2.703;  -31.030; 2.459
  4.2047;      ;6296-1456-1 ;289.1346352490;-16.1930655529;  3.74; 0.25;   -4.375; 2.412;  -29.915; 2.250
  4.5262;      ;6296-1513-1 ;289.0746738184;-16.3235633058;  2.49; 0.41;   -2.733; 0.695;   -3.412; 0.773
  4.9457;      ;6296-1148-1 ;289.0360423807;-16.1875596166;  3.67; 0.69;   -0.805; 0.927;  -25.998; 0.765
  5.1154;      ;6296-1947-1 ;289.0831286106;-16.3348224768;  1.14; 0.27;    9.749; 3.014;   -8.604; 2.803
  5.2226;      ;6296-1696-2 ;289.0993762475;-16.1632395964;  1.95; 0.46;    5.421; 3.519;    9.980; 3.166
  5.7015;      ;6296-377-1  ;288.9933942455;-16.2572871798;  3.00; 0.27;   -0.226; 1.653;  -27.381; 1.533
  5.9968;      ;6296-1824-1 ;289.1531130721;-16.3309795765;  2.07; 0.31;    4.145; 3.302;    1.272; 2.664
  6.0116;      ;6296-1809-1 ;289.1391207018;-16.3394441881;  3.09; 0.25;   -1.254; 2.331;  -26.288; 2.333
  6.9428;      ;6296-1867-1 ;289.0455385686;-16.3567419818;  2.48; 0.30;   -3.517; 2.481;   -3.863; 2.271
  7.0059;      ;6296-1256-1 ;289.2009541821;-16.1979776041;  3.57; 0.29;   -0.186; 0.920;  -27.557; 0.883
  7.6363;      ;6296-1416-1 ;289.1393445410;-16.1310963620;  1.59; 0.31;    0.061; 1.777;  -25.433; 1.698
  7.9743;      ;6296-568-1  ;288.9637385884;-16.2998508694;  4.00; 0.86;   -1.026; 0.365;  -27.253; 0.390
  8.0345;      ;6296-1515-1 ;289.0428333272;-16.1247223196;  1.29; 0.36;    2.149; 1.833;   -0.134; 1.658
  8.1117;      ;6296-452-1  ;288.9546347076;-16.2794542564;  1.62; 0.37;   -0.322; 0.551;   -1.462; 0.621
  8.3055;      ;6296-415-1  ;288.9690598026;-16.1778416716;  2.04; 0.34;   -3.335; 2.656;  -10.596; 2.394
  8.6886;      ;6296-1453-1 ;289.2362460066;-16.2074534897;  4.78; 0.54;   -2.740; 0.973;  -26.403; 1.080
  8.7768;      ;6296-1593-1 ;289.0598401480;-16.3929698108;  2.46; 0.27;    3.012; 2.448;  -10.348; 2.225
  9.2149;      ;6296-1324-1 ;289.1396584945;-16.3966383319;  1.23; 0.37;    3.101; 0.617;   -1.034; 0.703
  9.3049;      ;6296-1493-1 ;289.0606498709;-16.4021195444;  3.10; 0.27;   -0.028; 1.417;  -26.686; 1.353
  9.8432;      ;6296-1439-1 ;289.2010397502;-16.1236481455;  1.39; 0.37;    2.153; 2.766;   -7.015; 2.522
 10.3698;      ;6296-1372-1 ;289.0188348551;-16.0921354335;  3.06; 0.25;    3.484; 1.979;  -23.762; 1.842
 10.4729;      ;6296-1483-1 ;289.1297378066;-16.0792398550;  0.59; 0.32;    4.550; 2.378;   -5.610; 2.177
 10.6695;      ;6296-190-1  ;288.9152965519;-16.1970142153;  1.32; 0.26;   -7.433; 1.869;   -4.641; 1.698
 10.7935;      ;6296-1801-1 ;289.1594569484;-16.4178708079;  3.31; 0.27;   -3.045; 2.743;  -30.797; 2.603
 10.8395;      ;6296-756-1  ;288.9043750426;-16.2373464993;  3.80; 0.26;    9.803; 1.269;    4.616; 1.171
 11.1935;      ;6296-240-1  ;288.9041066210;-16.2028011435;  0.83; 0.28;    2.364; 2.811;    3.179; 2.646
 11.9459;      ;6296-444-1  ;288.9136318627;-16.3515085975;  2.64; 0.37;    6.884; 3.136;   -1.869; 2.810
 12.1297;      ;6296-654-1  ;288.9379763143;-16.3878234982;  3.14; 0.25;    4.840; 4.392;  -21.586; 3.841
 12.3544;      ;6296-1404-1 ;289.1556284791;-16.4466707585;  0.74; 0.62;   -6.030; 5.741;   -5.360; 4.627
 12.5492;      ;6296-2013-1 ;289.1828726236;-16.4401447795;  2.47; 0.29;   -0.397; 0.739;  -26.860; 0.933
 12.8379;      ;6296-601-1  ;288.9008325357;-16.3599426724;  2.85; 0.26;    0.149; 3.602;   -7.020; 3.161
 12.8513;      ;6296-1893-1 ;289.0930469223;-16.4641866097;  3.97; 0.24;   -1.819; 2.071;  -26.311; 1.844
 13.1065;      ;6296-199-1  ;288.8867713268;-16.3442512557;  2.88; 0.54;    0.472; 1.294;  -26.925; 1.946
