#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-14T23:33:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
#
#
#Coosys  J2000:   eq_FK5 J2000
#INFO votable-version=1.99+ (14-Oct-2013)
#INFO -ref=VIZ57d9dc34436f
#INFO -out.max=unlimited
#INFO queryParameters=24
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c=22 34 47   +29 57 50
#-c.eq=J2000
#-c.r=  21
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO -c=338.695833+29.963889,rm=21.
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Table   I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column  _r (F7.4)   Distance from center (338.6958333333+29.9638888889)[FK5/J2000], at Epoch of catalog (Epoch)  [ucd=pos.angDistance]
#Column  _RAJ2000 (F10.6)  Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)   [ucd=pos.eq.ra]
#Column  _DEJ2000 (F10.6)  Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#Column  HIP   (I6)  ? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]   [ucd=meta.id.cross]
#Column  TYC2  (A12) Tycho 2 identifier (\original{tycho2_id}) [ucd=meta.id.cross]
#Column  RA_ICRS  (F14.10) Right ascension (ICRS) at epoch Epoch (\original{ra}) [ucd=pos.eq.ra;meta.main]
#Column  DE_ICRS  (F14.10) Declination (ICRS) at epoch Epoch (\original{dec}) [ucd=pos.eq.dec;meta.main]
#Column  Plx   (F6.2)   Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})   [ucd=pos.parallax]
#Column  e_Plx (F5.2)   Standard error of parallax (\original{parallax_error})   [ucd=stat.error;pos.parallax]
#Column  pmRA  (F9.3)   Proper motion in right ascension direction (\original{pmRA}) (G5) [ucd=pos.pm;pos.eq.ra]
#Column  e_pmRA   (F6.3)   Standard error of proper motion in right ascension direction (\original{pmra_error})   [ucd=stat.error;pos.pm;pos.eq.ra]
#Column  pmDE  (F9.3)   Proper motion in declination direction (\original{pmdec}) (G6) [ucd=pos.pm;pos.eq.dec]
#Column  e_pmDE   (F6.3)   Standard error of proper motion in declination direction (\original{pmdec_error})   [ucd=stat.error;pos.pm;pos.eq.dec]
_r;_RAJ2000;_DEJ2000;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
arcmin;deg;deg; ; ;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr
-------;----------;----------;------;------------;--------------;--------------;------;-----;---------;------;---------;------
11.8121;338.858811;+30.101207;      ;2735-370-1  ;338.8590508626;+30.1009655823;  5.98; 0.53;   49.811; 1.518;  -57.970; 1.260
12.1995;338.584163;+29.785033;      ;2231-729-1  ;338.5843683284;+29.7850066539;  4.71; 0.46;   42.834; 0.771;   -6.338; 0.744
13.6840;338.490882;+30.107400;      ;2735-190-1  ;338.4911114054;+30.1074295900;  4.65; 0.47;   47.582; 0.882;    7.150; 0.593
17.8694;338.456950;+29.749633;      ;2231-444-1  ;338.4571409063;+29.7497733757;  4.81; 0.27;   39.687; 0.541;   33.718; 0.396
20.1429;338.318962;+29.886870;      ;2231-182-1  ;338.3188636110;+29.8866568064;  3.93; 0.30;  -20.541; 0.839;  -51.066; 0.405
20.7625;338.929869;+30.244704;      ;2735-700-1  ;338.9297214766;+30.2446093276;  4.91; 0.60;  -30.686; 0.875;  -22.833; 0.652


20.9475;338.670233;+29.615493;      ;2231-1058-1 ;338.6702446721;+29.6154706534;  2.44; 0.44;    2.509; 1.122;   -5.444; 0.635
17.5565;338.411092;+30.121599;      ;2735-1098-1 ;338.4111067860;+30.1215911864;  0.59; 0.36;    3.037; 0.812;   -1.765; 0.424
17.8660;338.522454;+29.706950;      ;2231-979-1  ;338.5224763041;+29.7068850396;  0.51; 0.47;    4.647; 1.917;  -15.524; 0.476
20.0954;338.836274;+29.651914;      ;2231-709-1  ;338.8363153959;+29.6519344878;  1.66; 0.31;    8.565; 0.678;    5.004; 0.369
19.8801;338.949831;+30.211873;      ;2735-352-1  ;338.9498280547;+30.2118477848;  3.35; 0.44;   -0.531; 0.770;   -6.001; 0.588
18.2629;338.437670;+30.170629;      ;2735-642-1  ;338.4376664162;+30.1705975083;  2.15; 0.34;   -0.654; 0.734;   -7.582; 0.482
 9.1556;338.622198;+30.102541;      ;2735-854-1  ;338.6221946523;+30.1025274554;  0.81; 0.39;   -0.662; 0.945;   -3.209; 0.461
18.0139;338.624060;+30.257657;      ;2735-328-1  ;338.6240502070;+30.2576278835;  0.70; 0.30;   -1.934; 0.729;   -7.050; 0.429
19.0942;338.569139;+29.665266;      ;2231-990-1  ;338.5691265402;+29.6652432822;  1.13; 0.36;   -2.499; 0.731;   -5.378; 0.427
 6.4869;338.571346;+29.956589;      ;2231-5-1    ;338.5713289109;+29.9565782789;  0.92; 0.27;   -3.489; 0.596;   -2.596; 0.480
 5.0309;338.751364;+29.895242;      ;2231-47-1   ;338.7513455428;+29.8952149640;  2.05; 0.31;   -3.932; 0.868;   -6.543; 0.396
11.0162;338.844684;+30.094710;      ;2735-264-1  ;338.8446644121;+30.0946818865;  1.33; 0.29;   -3.994; 0.680;   -6.710; 0.405
19.8038;338.317697;+29.924378;      ;2231-71-1   ;338.3176723638;+29.9243016265;  3.16; 0.28;   -5.116; 0.641;  -18.426; 0.376
19.6749;338.547614;+29.662209;      ;2231-679-1  ;338.5476687686;+29.6622244000;  1.80; 0.55;   11.505; 1.018;    3.755; 0.768
16.3035;338.985354;+30.068650;      ;2735-234-1  ;338.9854144389;+30.0685882297;  1.90; 0.33;   12.584; 0.782;  -14.819; 0.361
17.9805;339.032241;+29.894762;      ;2231-395-1  ;339.0323022989;+29.8947830935;  1.65; 0.30;   12.680; 0.756;    5.152; 0.426
